[32T3J 893]
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand A5538 is 2
Ranked Hand: {2 [14 5 5 3 8] 404}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 6TAA3 is 2
Ranked Hand: {2 [6 10 14 14 3] 242}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand Q9J43 is 2
Ranked Hand: {2 [12 9 1 4 3] 379}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 6A2JQ is 2
Ranked Hand: {2 [6 14 2 1 12] 535}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand Q8882 is 4
Ranked Hand: {4 [12 8 8 8 2] 643}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 535J3 is 5
Ranked Hand: {5 [5 3 5 1 3] 686}
Inverser counts: {
	"4": 1
}, jcount 1
Grade of hand 666J6 is 7
Ranked Hand: {7 [6 6 6 1 6] 813}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 93963 is 3
Ranked Hand: {3 [9 3 9 6 3] 857}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 5TA42 is 1
Ranked Hand: {1 [5 10 14 4 2] 353}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 99J53 is 5
Ranked Hand: {5 [9 9 1 5 3] 205}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand JQ7K3 is 2
Ranked Hand: {2 [1 12 7 13 3] 222}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 92A66 is 2
Ranked Hand: {2 [9 2 14 6 6] 1000}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand K5QT5 is 2
Ranked Hand: {2 [13 5 12 10 5] 634}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 5AA6A is 4
Ranked Hand: {4 [5 14 14 6 14] 806}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand KKTAK is 4
Ranked Hand: {4 [13 13 10 14 13] 206}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 5242T is 2
Ranked Hand: {2 [5 2 4 2 10] 708}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 26K26 is 3
Ranked Hand: {3 [2 6 13 2 6] 344}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand JK8T8 is 5
Ranked Hand: {5 [1 13 8 10 8] 841}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 39A92 is 2
Ranked Hand: {2 [3 9 14 9 2] 357}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 726J7 is 5
Ranked Hand: {5 [7 2 6 1 7] 719}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 33QT7 is 2
Ranked Hand: {2 [3 3 12 10 7] 5}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand Q3J6T is 2
Ranked Hand: {2 [12 3 1 6 10] 554}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 9K69T is 2
Ranked Hand: {2 [9 13 6 9 10] 66}
Grade of hand JJJJJ is 7
Ranked Hand: {7 [1 1 1 1 1] 503}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 866AA is 3
Ranked Hand: {3 [8 6 6 14 14] 601}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand K96A4 is 1
Ranked Hand: {1 [13 9 6 14 4] 267}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand T222J is 6
Ranked Hand: {6 [10 2 2 2 1] 45}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand AJQAA is 6
Ranked Hand: {6 [14 1 12 14 14] 744}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 7K7J7 is 6
Ranked Hand: {6 [7 13 7 1 7] 370}
Inverser counts: {
	"1": 2
}, jcount 3
Grade of hand JJJ34 is 6
Ranked Hand: {6 [1 1 1 3 4] 499}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 77TTK is 3
Ranked Hand: {3 [7 7 10 10 13] 161}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 98T35 is 1
Ranked Hand: {1 [9 8 10 3 5] 347}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand 3J8J3 is 6
Ranked Hand: {6 [3 1 8 1 3] 949}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 92J2T is 5
Ranked Hand: {5 [9 2 1 2 10] 941}
Inverser counts: {
	"2": 1
}, jcount 3
Grade of hand 2JJJ2 is 7
Ranked Hand: {7 [2 1 1 1 2] 957}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 87QQ2 is 2
Ranked Hand: {2 [8 7 12 12 2] 557}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 67646 is 4
Ranked Hand: {4 [6 7 6 4 6] 649}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand T5T99 is 3
Ranked Hand: {3 [10 5 10 9 9] 166}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 6Q26Q is 3
Ranked Hand: {3 [6 12 2 6 12] 765}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 4J538 is 2
Ranked Hand: {2 [4 1 5 3 8] 437}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand TAQ67 is 1
Ranked Hand: {1 [10 14 12 6 7] 103}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 8TT8T is 5
Ranked Hand: {5 [8 10 10 8 10] 662}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 7A77A is 5
Ranked Hand: {5 [7 14 7 7 14] 120}
Inverser counts: {
	"4": 1
}, jcount 1
Grade of hand 5555J is 7
Ranked Hand: {7 [5 5 5 5 1] 176}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 449J9 is 5
Ranked Hand: {5 [4 4 9 1 9] 709}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand JK98Q is 2
Ranked Hand: {2 [1 13 9 8 12] 811}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand K8JKJ is 6
Ranked Hand: {6 [13 8 1 13 1] 930}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 25AA2 is 3
Ranked Hand: {3 [2 5 14 14 2] 752}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 222QQ is 5
Ranked Hand: {5 [2 2 2 12 12] 321}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 22K22 is 6
Ranked Hand: {6 [2 2 13 2 2] 386}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 76J55 is 5
Ranked Hand: {5 [7 6 1 5 5] 362}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 93577 is 2
Ranked Hand: {2 [9 3 5 7 7] 656}
Inverser counts: {
	"3": 1
}, jcount 2
Grade of hand 555JJ is 7
Ranked Hand: {7 [5 5 5 1 1] 589}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 42Q54 is 2
Ranked Hand: {2 [4 2 12 5 4] 684}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand Q4QQQ is 6
Ranked Hand: {6 [12 4 12 12 12] 305}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 3993A is 3
Ranked Hand: {3 [3 9 9 3 14] 391}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 3JQ2K is 2
Ranked Hand: {2 [3 1 12 2 13] 544}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 844J4 is 6
Ranked Hand: {6 [8 4 4 1 4] 285}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand AA222 is 5
Ranked Hand: {5 [14 14 2 2 2] 314}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 38467 is 1
Ranked Hand: {1 [3 8 4 6 7] 970}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 4Q6T8 is 1
Ranked Hand: {1 [4 12 6 10 8] 331}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand J4Q76 is 2
Ranked Hand: {2 [1 4 12 7 6] 101}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 33J64 is 5
Ranked Hand: {5 [3 3 1 6 4] 450}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 7A326 is 1
Ranked Hand: {1 [7 14 3 2 6] 137}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 9977K is 3
Ranked Hand: {3 [9 9 7 7 13] 10}
Inverser counts: {
	"1": 3
}, jcount 2
Grade of hand 9JJK2 is 4
Ranked Hand: {4 [9 1 1 13 2] 564}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 2JKA8 is 2
Ranked Hand: {2 [2 1 13 14 8] 739}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 9QA72 is 1
Ranked Hand: {1 [9 12 14 7 2] 694}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 3K6KJ is 5
Ranked Hand: {5 [3 13 6 13 1] 527}
Inverser counts: {
	"1": 3
}, jcount 2
Grade of hand J6Q7J is 4
Ranked Hand: {4 [1 6 12 7 1] 444}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 67AJQ is 2
Ranked Hand: {2 [6 7 14 1 12] 135}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 99898 is 5
Ranked Hand: {5 [9 9 8 9 8] 411}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 79823 is 1
Ranked Hand: {1 [7 9 8 2 3] 936}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 5K643 is 1
Ranked Hand: {1 [5 13 6 4 3] 237}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand J62J6 is 6
Ranked Hand: {6 [1 6 2 1 6] 696}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 26T26 is 3
Ranked Hand: {3 [2 6 10 2 6] 522}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand K8AK3 is 2
Ranked Hand: {2 [13 8 14 13 3] 415}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 35553 is 5
Ranked Hand: {5 [3 5 5 5 3] 864}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand J23T2 is 5
Ranked Hand: {5 [1 2 3 10 2] 374}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 5555K is 6
Ranked Hand: {6 [5 5 5 5 13] 800}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand JT266 is 5
Ranked Hand: {5 [1 10 2 6 6] 977}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 77772 is 6
Ranked Hand: {6 [7 7 7 7 2] 639}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 8822K is 3
Ranked Hand: {3 [8 8 2 2 13] 610}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand KJQ9Q is 5
Ranked Hand: {5 [13 1 12 9 12] 835}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand A9A9A is 5
Ranked Hand: {5 [14 9 14 9 14] 338}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand J36T6 is 5
Ranked Hand: {5 [1 3 6 10 6] 424}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 2586Q is 1
Ranked Hand: {1 [2 5 8 6 12] 494}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 73337 is 5
Ranked Hand: {5 [7 3 3 3 7] 74}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand A8AAA is 6
Ranked Hand: {6 [14 8 14 14 14] 438}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand K66J6 is 6
Ranked Hand: {6 [13 6 6 1 6] 199}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 87J58 is 5
Ranked Hand: {5 [8 7 1 5 8] 310}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 5T4KT is 2
Ranked Hand: {2 [5 10 4 13 10] 133}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 28768 is 2
Ranked Hand: {2 [2 8 7 6 8] 329}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand AA3A3 is 5
Ranked Hand: {5 [14 14 3 14 3] 11}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 77J27 is 6
Ranked Hand: {6 [7 7 1 2 7] 80}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 44442 is 6
Ranked Hand: {6 [4 4 4 4 2] 691}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 525KA is 2
Ranked Hand: {2 [5 2 5 13 14] 198}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 86T5A is 1
Ranked Hand: {1 [8 6 10 5 14] 436}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 5K55J is 6
Ranked Hand: {6 [5 13 5 5 1] 84}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 33343 is 6
Ranked Hand: {6 [3 3 3 4 3] 624}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 3A733 is 4
Ranked Hand: {4 [3 14 7 3 3] 965}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 83523 is 2
Ranked Hand: {2 [8 3 5 2 3] 67}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 66896 is 4
Ranked Hand: {4 [6 6 8 9 6] 982}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 63JQ4 is 2
Ranked Hand: {2 [6 3 1 12 4] 963}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand QQT88 is 3
Ranked Hand: {3 [12 12 10 8 8] 38}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 27J42 is 5
Ranked Hand: {5 [2 7 1 4 2] 150}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 828T5 is 2
Ranked Hand: {2 [8 2 8 10 5] 439}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 3444A is 4
Ranked Hand: {4 [3 4 4 4 14] 955}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand QTQQ8 is 4
Ranked Hand: {4 [12 10 12 12 8] 55}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand K839J is 2
Ranked Hand: {2 [13 8 3 9 1] 217}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 64697 is 2
Ranked Hand: {2 [6 4 6 9 7] 156}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 43393 is 4
Ranked Hand: {4 [4 3 3 9 3] 546}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand K7777 is 6
Ranked Hand: {6 [13 7 7 7 7] 51}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 2QKJ2 is 5
Ranked Hand: {5 [2 12 13 1 2] 704}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 2A2AA is 5
Ranked Hand: {5 [2 14 2 14 14] 312}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand AA5T3 is 2
Ranked Hand: {2 [14 14 5 10 3] 534}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 55544 is 5
Ranked Hand: {5 [5 5 5 4 4] 139}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 6572K is 1
Ranked Hand: {1 [6 5 7 2 13] 255}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 6KJK6 is 5
Ranked Hand: {5 [6 13 1 13 6] 425}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand T987K is 1
Ranked Hand: {1 [10 9 8 7 13] 778}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 3TA5Q is 1
Ranked Hand: {1 [3 10 14 5 12] 611}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand QTT55 is 3
Ranked Hand: {3 [12 10 10 5 5] 219}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 86TTK is 2
Ranked Hand: {2 [8 6 10 10 13] 664}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand TT344 is 3
Ranked Hand: {3 [10 10 3 4 4] 207}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 77577 is 6
Ranked Hand: {6 [7 7 5 7 7] 327}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand KJK3K is 6
Ranked Hand: {6 [13 1 13 3 13] 262}
Inverser counts: {
	"1": 3
}, jcount 2
Grade of hand J68J5 is 4
Ranked Hand: {4 [1 6 8 1 5] 730}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 43555 is 4
Ranked Hand: {4 [4 3 5 5 5] 727}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand TTK2A is 2
Ranked Hand: {2 [10 10 13 2 14] 537}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand K58QA is 1
Ranked Hand: {1 [13 5 8 12 14] 919}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand KAQ97 is 1
Ranked Hand: {1 [13 14 12 9 7] 102}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand A444J is 6
Ranked Hand: {6 [14 4 4 4 1] 443}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 4J969 is 5
Ranked Hand: {5 [4 1 9 6 9] 889}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 9TTT3 is 4
Ranked Hand: {4 [9 10 10 10 3] 283}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand AT399 is 2
Ranked Hand: {2 [14 10 3 9 9] 983}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand KKJ98 is 5
Ranked Hand: {5 [13 13 1 9 8] 661}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand K22J2 is 6
Ranked Hand: {6 [13 2 2 1 2] 501}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 467J7 is 5
Ranked Hand: {5 [4 6 7 1 7] 673}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand QJTQJ is 6
Ranked Hand: {6 [12 1 10 12 1] 985}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 787TK is 2
Ranked Hand: {2 [7 8 7 10 13] 932}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 556A5 is 4
Ranked Hand: {4 [5 5 6 14 5] 617}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 6JT4T is 5
Ranked Hand: {5 [6 1 10 4 10] 372}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 97343 is 2
Ranked Hand: {2 [9 7 3 4 3] 724}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand Q693Q is 2
Ranked Hand: {2 [12 6 9 3 12] 942}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 999TJ is 6
Ranked Hand: {6 [9 9 9 10 1] 182}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand TT9JQ is 5
Ranked Hand: {5 [10 10 9 1 12] 856}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 88Q42 is 2
Ranked Hand: {2 [8 8 12 4 2] 757}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 633J3 is 6
Ranked Hand: {6 [6 3 3 1 3] 560}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand Q6295 is 1
Ranked Hand: {1 [12 6 2 9 5] 722}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand KK6J8 is 5
Ranked Hand: {5 [13 13 6 1 8] 959}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand QTTA8 is 2
Ranked Hand: {2 [12 10 10 14 8] 693}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand A8688 is 4
Ranked Hand: {4 [14 8 6 8 8] 542}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 82434 is 2
Ranked Hand: {2 [8 2 4 3 4] 819}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 6T6A9 is 2
Ranked Hand: {2 [6 10 6 14 9] 623}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 78J88 is 6
Ranked Hand: {6 [7 8 1 8 8] 138}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 83Q34 is 2
Ranked Hand: {2 [8 3 12 3 4] 209}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand J8847 is 5
Ranked Hand: {5 [1 8 8 4 7] 619}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 6QJ22 is 5
Ranked Hand: {5 [6 12 1 2 2] 633}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 59995 is 5
Ranked Hand: {5 [5 9 9 9 5] 203}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 99K7K is 3
Ranked Hand: {3 [9 9 13 7 13] 801}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand A3343 is 4
Ranked Hand: {4 [14 3 3 4 3] 455}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 84982 is 2
Ranked Hand: {2 [8 4 9 8 2] 108}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand T42JT is 5
Ranked Hand: {5 [10 4 2 1 10] 700}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 38383 is 5
Ranked Hand: {5 [3 8 3 8 3] 612}
Ranked Hands: [
	{
		"Grade": 1,
		"Cards": [
			2,
			3,
			12,
			6,
			10
		],
		"Score": 895
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			5,
			8,
			6,
			12
		],
		"Score": 494
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			6,
			3,
			13,
			5
		],
		"Score": 566
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			9,
			6,
			12,
			7
		],
		"Score": 464
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			9,
			7,
			13,
			3
		],
		"Score": 915
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			14,
			3,
			13,
			7
		],
		"Score": 229
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			14,
			4,
			7,
			5
		],
		"Score": 513
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			14,
			10,
			6,
			8
		],
		"Score": 24
	},
	{
		"Grade": 1,
		"Cards": [
			2,
			14,
			12,
			7,
			6
		],
		"Score": 21
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			6,
			10,
			7,
			4
		],
		"Score": 392
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			6,
			10,
			9,
			7
		],
		"Score": 216
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			7,
			6,
			8,
			10
		],
		"Score": 793
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			8,
			4,
			6,
			7
		],
		"Score": 970
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			9,
			4,
			7,
			5
		],
		"Score": 775
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			9,
			5,
			4,
			8
		],
		"Score": 184
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			10,
			4,
			13,
			2
		],
		"Score": 3
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			10,
			14,
			5,
			12
		],
		"Score": 611
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			12,
			2,
			6,
			7
		],
		"Score": 706
	},
	{
		"Grade": 1,
		"Cards": [
			3,
			14,
			12,
			5,
			9
		],
		"Score": 4
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			2,
			12,
			14,
			10
		],
		"Score": 488
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			3,
			8,
			13,
			12
		],
		"Score": 143
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			5,
			6,
			2,
			12
		],
		"Score": 462
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			7,
			14,
			8,
			2
		],
		"Score": 260
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			7,
			14,
			13,
			12
		],
		"Score": 231
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			9,
			10,
			14,
			5
		],
		"Score": 109
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			9,
			12,
			10,
			13
		],
		"Score": 711
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			10,
			7,
			13,
			2
		],
		"Score": 241
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			10,
			12,
			8,
			2
		],
		"Score": 114
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			12,
			6,
			10,
			8
		],
		"Score": 331
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			13,
			2,
			14,
			9
		],
		"Score": 240
	},
	{
		"Grade": 1,
		"Cards": [
			4,
			14,
			13,
			6,
			2
		],
		"Score": 157
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			2,
			14,
			12,
			10
		],
		"Score": 672
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			3,
			4,
			14,
			9
		],
		"Score": 409
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			6,
			7,
			4,
			8
		],
		"Score": 681
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			8,
			10,
			3,
			2
		],
		"Score": 238
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			8,
			13,
			2,
			7
		],
		"Score": 818
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			10,
			3,
			8,
			13
		],
		"Score": 860
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			10,
			14,
			4,
			2
		],
		"Score": 353
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			13,
			6,
			4,
			3
		],
		"Score": 237
	},
	{
		"Grade": 1,
		"Cards": [
			5,
			14,
			12,
			2,
			8
		],
		"Score": 435
	},
	{
		"Grade": 1,
		"Cards": [
			6,
			3,
			14,
			13,
			2
		],
		"Score": 432
	},
	{
		"Grade": 1,
		"Cards": [
			6,
			4,
			7,
			2,
			5
		],
		"Score": 78
	},
	{
		"Grade": 1,
		"Cards": [
			6,
			5,
			7,
			2,
			13
		],
		"Score": 255
	},
	{
		"Grade": 1,
		"Cards": [
			6,
